UPC	Description	Categories (self defined)	Department	Price	Categories (self defined)	Category Ave Price 
00007222000072	FRANZ 1% STONEGROUND	BREAKFAST FOODS	GROCERY	$5.00 		3.963333333
00007222000126	FRANZ HONEY BRAN CR WHEAT	BREAKFAST FOODS	GROCERY	$4.00 		3.963333333
00007222000127	FRANZ 1 % WHOLE WHEAT	BREAKFAST FOODS	GROCERY	$3.39 		3.963333333
00007222000138	OREGON HAZELNUT BREAD	BREAKFAST FOODS	GROCERY	$4.65 		3.963333333
00007222000197	FRANZ SESAME BUN 8 PK	BREAKFAST FOODS	GROCERY	$3.75 		3.963333333
00007222000221	FRANZ 1% WHEAT 8PK HOT	BREAKFAST FOODS	GROCERY	$3.09 		3.963333333
00007222000239	SEA IN OUTDOOR ROLLS -6PK	BREAKFAST FOODS	GROCERY	$3.19 		3.963333333
00007222000520	FRANZ ORIGINAL MUFFIN	BREAKFAST FOODS	GROCERY	$5.00 		3.963333333
00007222000523	FRANZ RAISIN MUFFIN	BREAKFAST FOODS	GROCERY	$5.00 		3.963333333
00007222022034	FRANZ CHOC DONUTS - 6 PK	BREAKFAST FOODS	GROCERY	$5.00 		3.963333333
00007294571706	SARA LEE BREAD DELIGHTFUL WHT	BREAKFAST FOODS	GROCERY	$3.25 		3.963333333
00007313000078	OROWEAT ONION PREM BUN	BREAKFAST FOODS	GROCERY	$2.45 		3.963333333
00007313000105	OROWEAT WHL GRAIN 9 GRAIN	BREAKFAST FOODS	GROCERY	$3.99 		3.963333333
00007313000161	OROWEAT LIGHT 1% W/W	BREAKFAST FOODS	GROCERY	$4.15 		3.963333333
00007313001243	"BOBOLI 12"" TWIN PACK"	BREAKFAST FOODS	GROCERY	$7.49 		3.963333333
00007313002855	OROWEAT OAT NUT	BREAKFAST FOODS	GROCERY	$4.55 		3.963333333
00007313003701	OROWEAT HONEY WHOLE WHEAT	BREAKFAST FOODS	GROCERY	$4.55 		3.963333333
00060654192038	MILTON'S MULTI	BREAKFAST FOODS	GROCERY	$4.65 		3.963333333
00001500002607	GERBER 3RD VEG/TRKY DINNE	CANNED/PACKAGED GOODS	GROCERY	$0.99 		2.529411765
00001540001268	WF Y/C PEACH SLICED-LT	CANNED/PACKAGED GOODS	GROCERY	$5.00 		2.529411765
00001540001404	WF SLC WATERCHESTNUTS	CANNED/PACKAGED GOODS	GROCERY	$0.83 		2.529411765
00001540001493	WF ARTICHOKE HRTS MARN	CANNED/PACKAGED GOODS	GROCERY	$2.09 		2.529411765
00001540001880	WF CHILI CON CARNE	CANNED/PACKAGED GOODS	GROCERY	$1.19 		2.529411765
00001540001888	WF REFRIED BEANS-TRAD	CANNED/PACKAGED GOODS	GROCERY	$2.19 		2.529411765
00003890000473	DOLE PINEAPPLE CHUNKS IN	CANNED/PACKAGED GOODS	GROCERY	$5.00 		2.529411765
00003890000519	DOLE PNAPL TIDBITS IN JCE	CANNED/PACKAGED GOODS	GROCERY	$1.19 		2.529411765
00003890000947	DOLE PINEAPPLE JUICE-TIN	CANNED/PACKAGED GOODS	GROCERY	$3.29 		2.529411765
00003890004205	DOLE MANDARIN ORANGES	CANNED/PACKAGED GOODS	GROCERY	$1.99 		2.529411765
00003940001633	BUSH BKD VEGETARIAN	CANNED/PACKAGED GOODS	GROCERY	$1.89 		2.529411765
00004100000362	LIPTON REC SECRETS ONION	CANNED/PACKAGED GOODS	GROCERY	$1.69 		2.529411765
00004132124105	NLLY CHL/BNS	CANNED/PACKAGED GOODS	GROCERY	$5.00 		2.529411765
00004132124718	NLLY BEEF TMLES IN SC	CANNED/PACKAGED GOODS	GROCERY	$2.09 		2.529411765
00004182000005	S/FELD FRSH PK SAUERKRAUT	CANNED/PACKAGED GOODS	GROCERY	$1.79 		2.529411765
00005100000007	CAMPBELLS TOMATO JCE	CANNED/PACKAGED GOODS	GROCERY	$3.59 		2.529411765
00005100000564	CAMP CHNKY SPLT PEA/HAM	CANNED/PACKAGED GOODS	GROCERY	$3.39 		2.529411765
00005100001527	CAMP CRMY CHKN W/MSHRM	CANNED/PACKAGED GOODS	GROCERY	$1.79 		2.529411765
00005100003813	CAMP CHUNKY CHKN CORN CHW	CANNED/PACKAGED GOODS	GROCERY	$3.39 		2.529411765
00005100005500	CAMP CRM OF CKN SP	CANNED/PACKAGED GOODS	GROCERY	$2.59 		2.529411765
00005100005887	CAMP HLTHY REQ TOMATO	CANNED/PACKAGED GOODS	GROCERY	$1.69 		2.529411765
00005100008723	CAMP CRMY CKN NDLE	CANNED/PACKAGED GOODS	GROCERY	$1.89 		2.529411765
00005200032212	GATOR AM ORANGE STRAWBERRY 32 oz	CANNED/PACKAGED GOODS	GROCERY	$1.25 		2.529411765
00005210007073	MCRMK IMIT COCONUT EXTRAC	CANNED/PACKAGED GOODS	GROCERY	$4.39 		2.529411765
00005210016025	MCRMCK NEON ASST FOOD COL	CANNED/PACKAGED GOODS	GROCERY	$5.29 		2.529411765
00005210076249	MC BRN GRVY LESS SODIUM	CANNED/PACKAGED GOODS	GROCERY	$1.19 		2.529411765
00006414402115	DENNISON CHILI C CARNE W/	CANNED/PACKAGED GOODS	GROCERY	$1.89 		2.529411765
00007066200702	NISSIN CHK/VEG SOUPER ML	CANNED/PACKAGED GOODS	GROCERY	$1.49 		2.529411765
00007066201002	TOP RAMEN INST NDL SP BEE	CANNED/PACKAGED GOODS	GROCERY	$1.00 		2.529411765
00007142909535	ZATARAIN DIRTY RICE MIX	CANNED/PACKAGED GOODS	GROCERY	$2.59 		2.529411765
00008440112101	CITY SOUR B/S VIENNA	CANNED/PACKAGED GOODS	GROCERY	$2.99 		2.529411765
00008440112208	CITY SOUR TRAY ROLL 8PK	CANNED/PACKAGED GOODS	GROCERY	$2.99 		2.529411765
00008440118802	ROSA PATATA ROSEMARY POT	CANNED/PACKAGED GOODS	GROCERY	$4.39 		2.529411765
00061054645142	KH SOUR PEACH RINGS	CANNED/PACKAGED GOODS	GROCERY	$1.99 		2.529411765
00002100061120	DELI CREAM CHEESE	CHEESE SERVICE DELI	CHEESE SERVICE DELI	$0.49 		6.4275
